threshold,accuracy,precision,recall,f1,predicted_positive_count
0.05,0.5081618168914124,0.34881516587677724,0.983957219251337,0.5150454863540938,1055
0.06,0.5188076650106459,0.35384615384615387,0.983957219251337,0.5205091937765205,1040
0.07,0.5209368346344926,0.35402521823472355,0.9759358288770054,0.5195729537366548,1031
0.08,0.5514549325762953,0.36890243902439024,0.9705882352941176,0.5346097201767305,984
0.09,0.5684882895670689,0.3776150627615063,0.9652406417112299,0.5428571428571428,956
0.1,0.5855216465578424,0.38660907127429806,0.9572192513368984,0.5507692307692308,926
0.11,0.6181689141234918,0.4053117782909931,0.9385026737967914,0.5661290322580645,866
0.12,0.6330731014904187,0.4149821640903686,0.9331550802139037,0.574485596707819,841
0.13,0.6437189496096523,0.4223300970873786,0.93048128342246,0.5809682804674458,824
0.14,0.6593328601845281,0.43308080808080807,0.9171122994652406,0.5883361921097771,792
0.15,0.6784953867991483,0.4469798657718121,0.8903743315508021,0.5951742627345844,745
0.16,0.7125621007806955,0.4769687964338782,0.8582887700534759,0.6131805157593123,673
0.17,0.7125621007806955,0.4769687964338782,0.8582887700534759,0.6131805157593123,673
0.18,0.7125621007806955,0.4769687964338782,0.8582887700534759,0.6131805157593123,673
0.19,0.7203690560681334,0.4847560975609756,0.8502673796791443,0.6174757281553398,656
0.2,0.7210787792760823,0.48545176110260335,0.8475935828877005,0.617332035053554,653
0.21,0.7210787792760823,0.48545176110260335,0.8475935828877005,0.617332035053554,653
0.22,0.7288857345635202,0.493730407523511,0.8422459893048129,0.6225296442687747,638
0.23,0.7437899219304471,0.5106382978723404,0.8342245989304813,0.6335025380710659,611
0.24,0.7437899219304471,0.5106382978723404,0.8342245989304813,0.6335025380710659,611
0.25,0.7473385379701917,0.5152027027027027,0.8155080213903744,0.6314699792960663,592
0.26,0.7473385379701917,0.5152027027027027,0.8155080213903744,0.6314699792960663,592
0.27,0.7466288147622427,0.5143824027072758,0.8128342245989305,0.6300518134715026,591
0.28,0.7459190915542938,0.5135593220338983,0.8101604278074866,0.6286307053941909,590
0.29,0.7459190915542938,0.5136054421768708,0.8074866310160428,0.6278586278586279,588
0.3,0.7452093683463449,0.5127768313458262,0.8048128342245989,0.6264308012486993,587
0.31,0.7672107877927609,0.5461847389558233,0.7272727272727273,0.6238532110091743,498
0.32,0.772888573456352,0.5560165975103735,0.7165775401069518,0.6261682242990654,482
0.33,0.7750177430801988,0.5602536997885835,0.7085561497326203,0.6257378984651711,473
0.34,0.7792760823278921,0.5674518201284796,0.7085561497326203,0.6302021403091558,467
0.35,0.7814052519517388,0.5730088495575221,0.6925133689839572,0.6271186440677966,452
0.36,0.7835344215755855,0.5804195804195804,0.6657754010695187,0.6201743462017435,429
0.37,0.7835344215755855,0.5804195804195804,0.6657754010695187,0.6201743462017435,429
0.38,0.7849538679914834,0.5843230403800475,0.6577540106951871,0.6188679245283019,421
0.39,0.78708303761533,0.5889423076923077,0.6550802139037433,0.620253164556962,416
0.4,0.78708303761533,0.5889423076923077,0.6550802139037433,0.620253164556962,416
0.41,0.7885024840312278,0.5935960591133005,0.6443850267379679,0.617948717948718,406
0.42,0.7885024840312278,0.5935960591133005,0.6443850267379679,0.617948717948718,406
0.43,0.7899219304471257,0.6005154639175257,0.6229946524064172,0.6115485564304461,388
0.44,0.7998580553584103,0.632183908045977,0.5882352941176471,0.6094182825484764,348
0.45,0.7991483321504613,0.6311239193083573,0.5855614973262032,0.6074895977808599,347
0.46,0.8019872249822569,0.6479750778816199,0.5561497326203209,0.5985611510791367,321
0.47,0.8019872249822569,0.6489028213166145,0.553475935828877,0.5974025974025974,319
0.48,0.8034066713981547,0.6549520766773163,0.5481283422459893,0.5967976710334789,313
0.49,0.8048261178140526,0.6655518394648829,0.5320855614973262,0.5913818722139673,299
0.5,0.8076650106458482,0.6745762711864407,0.5320855614973262,0.5949177877428998,295
0.51,0.8076650106458482,0.6745762711864407,0.5320855614973262,0.5949177877428998,295
0.52,0.8076650106458482,0.6782006920415224,0.5240641711229946,0.5912518853695324,289
0.53,0.8041163946061036,0.6929133858267716,0.47058823529411764,0.5605095541401274,254
0.54,0.8041163946061036,0.6929133858267716,0.47058823529411764,0.5605095541401274,254
0.55,0.8034066713981547,0.691699604743083,0.4679144385026738,0.5582137161084529,253
0.56,0.8034066713981547,0.691699604743083,0.4679144385026738,0.5582137161084529,253
0.57,0.7877927608232789,0.7094972067039106,0.339572192513369,0.4593128390596745,179
0.58,0.7906316536550745,0.7615894039735099,0.3074866310160428,0.4380952380952381,151
0.59,0.7835344215755855,0.7518248175182481,0.27540106951871657,0.40313111545988256,137
0.6,0.7849538679914834,0.7709923664122137,0.2700534759358289,0.4,131
0.61,0.7849538679914834,0.7709923664122137,0.2700534759358289,0.4,131
0.62,0.7828246983676366,0.7698412698412699,0.25935828877005346,0.388,126
0.63,0.7821149751596878,0.768,0.25668449197860965,0.3847695390781563,125
0.64,0.7828246983676366,0.7741935483870968,0.25668449197860965,0.3855421686746988,124
0.65,0.7821149751596878,0.7913043478260869,0.24331550802139038,0.3721881390593047,115
0.66,0.7814052519517388,0.7894736842105263,0.24064171122994651,0.36885245901639346,114
0.67,0.7821149751596878,0.8018018018018018,0.23796791443850268,0.3670103092783505,111
0.68,0.7828246983676366,0.8090909090909091,0.23796791443850268,0.3677685950413223,110
0.69,0.7828246983676366,0.8148148148148148,0.23529411764705882,0.3651452282157676,108
0.7,0.7821149751596878,0.8130841121495327,0.232620320855615,0.36174636174636177,107
0.71,0.7821149751596878,0.8130841121495327,0.232620320855615,0.36174636174636177,107
0.72,0.7821149751596878,0.819047619047619,0.22994652406417113,0.35908141962421714,105
0.73,0.7806955287437899,0.8155339805825242,0.22459893048128343,0.3522012578616352,103
0.74,0.7806955287437899,0.8282828282828283,0.2192513368983957,0.346723044397463,99
0.75,0.7806955287437899,0.8282828282828283,0.2192513368983957,0.346723044397463,99
0.76,0.7799858055358411,0.8333333333333334,0.21390374331550802,0.3404255319148936,96
0.77,0.7799858055358411,0.8333333333333334,0.21390374331550802,0.3404255319148936,96
0.78,0.7693399574166075,0.8356164383561644,0.16310160427807488,0.27293064876957496,73
0.79,0.7665010645848119,0.8461538461538461,0.14705882352941177,0.2505694760820046,65
0.8,0.7665010645848119,0.8461538461538461,0.14705882352941177,0.2505694760820046,65
0.81,0.7665010645848119,0.8461538461538461,0.14705882352941177,0.2505694760820046,65
0.82,0.7665010645848119,0.8461538461538461,0.14705882352941177,0.2505694760820046,65
0.83,0.7650816181689141,0.8524590163934426,0.13903743315508021,0.23908045977011494,61
0.84,0.7650816181689141,0.8524590163934426,0.13903743315508021,0.23908045977011494,61
0.85,0.7558552164655784,0.8409090909090909,0.09893048128342247,0.17703349282296652,44
0.86,0.7558552164655784,0.8409090909090909,0.09893048128342247,0.17703349282296652,44
0.87,0.7558552164655784,0.8409090909090909,0.09893048128342247,0.17703349282296652,44
0.88,0.7466288147622427,0.84,0.05614973262032086,0.10526315789473684,25
0.89,0.7459190915542938,0.8333333333333334,0.053475935828877004,0.10050251256281408,24
0.9,0.7402413058907026,1.0,0.0213903743315508,0.041884816753926704,8
0.91,0.7374024130589071,1.0,0.0106951871657754,0.021164021164021163,4
0.92,0.7374024130589071,1.0,0.0106951871657754,0.021164021164021163,4
0.93,0.7374024130589071,1.0,0.0106951871657754,0.021164021164021163,4
0.94,0.7374024130589071,1.0,0.0106951871657754,0.021164021164021163,4
0.95,0.7366926898509581,1.0,0.008021390374331552,0.015915119363395226,3
